Name,Email,Channel,Year,Match Email
employee46,employee46@homecompany.com,Recurring,2021,2021-employee46@homecompany.com
employee22,employee22@homecompany.com,Partner,2021,2021-employee22@homecompany.com
employee23,employee23@homecompany.com,Partner,2021,2021-employee23@homecompany.com
employee20,employee20@homecompany.com,Partner,2021,2021-employee20@homecompany.com
employee24,employee24@homecompany.com,Partner,2021,2021-employee24@homecompany.com
employee39,employee39@homecompany.com,Recurring,2021,2021-employee39@homecompany.com
employee50,employee50@homecompany.com,Recurring,2021,2021-employee50@homecompany.com
employee44,employee44@homecompany.com,Recurring,2021,2021-employee44@homecompany.com
employee31,employee31@homecompany.com,Recurring,2021,2021-employee31@homecompany.com
employee29,employee29@homecompany.com,Inbound - quotes,2021,2021-employee29@homecompany.com
employee34,employee34@homecompany.com,Recurring,2021,2021-employee34@homecompany.com
employee30,employee30@homecompany.com,Recurring,2021,2021-employee30@homecompany.com
employee43,employee43@homecompany.com,Recurring,2021,2021-employee43@homecompany.com
employee25,employee25@homecompany.com,Recurring,2021,2021-employee25@homecompany.com
employee41,employee41@homecompany.com,Recurring,2021,2021-employee41@homecompany.com
employee51,employee51@homecompany.com,Partner,2021,2021-employee51@homecompany.com
employee52,employee52@homecompany.com,Partner,2021,2021-employee52@homecompany.com
employee21,employee21@homecompany.com,Partner,2021,2021-employee21@homecompany.com
employee45,employee45@homecompany.com,Inbound - zero touch,2021,2021-employee45@homecompany.com
employee13,employee13@homecompany.com,Inbound - quotes,2021,2021-employee13@homecompany.com
employee37,employee37@homecompany.com,Inbound - quotes,2021,2021-employee37@homecompany.com
employee11,employee11@homecompany.com,Partner,2021,2021-employee11@homecompany.com
employee35,employee35@homecompany.com,Partner,2021,2021-employee35@homecompany.com
employee3,employee3@homecompany.com,Inbound - quotes,2021,2021-employee3@homecompany.com
employee47,employee47@homecompany.com,Inbound - quotes,2021,2021-employee47@homecompany.com
employee28,employee28@homecompany.com,Inbound - quotes,2021,2021-employee28@homecompany.com
employee42,employee42@homecompany.com,Inbound - quotes,2021,2021-employee42@homecompany.com
employee53,employee53@homecompany.com,Inbound - quotes,2021,2021-employee53@homecompany.com
employee54,employee54@homecompany.com,Inbound - quotes,2021,2021-employee54@homecompany.com
employee27,employee27@homecompany.com,Partner,2021,2021-employee27@homecompany.com
employee36,employee36@homecompany.com,Inbound - quotes,2021,2021-employee36@homecompany.com
employee16,employee16@homecompany.com,Inbound - quotes,2022,2022-employee16@homecompany.com
employee32,employee32@homecompany.com,Outbound,2022,2022-employee32@homecompany.com
employee9,employee9@homecompany.com,Recurring,2022,2022-employee9@homecompany.com
employee8,employee8@homecompany.com,Recurring,2022,2022-employee8@homecompany.com
employee19,employee19@homecompany.com,Recurring,2022,2022-employee19@homecompany.com
employee5,employee5@homecompany.com,Recurring,2022,2022-employee5@homecompany.com
employee6,employee6@homecompany.com,Inbound - zero touch,2022,2022-employee6@homecompany.com
employee12,employee12@homecompany.com,Recurring,2022,2022-employee12@homecompany.com
employee2,employee2@homecompany.com,Partner,2022,2022-employee2@homecompany.com
employee40,employee40@homecompany.com,Outbound,2022,2022-employee40@homecompany.com
employee7,employee7@homecompany.com,Recurring,2022,2022-employee7@homecompany.com
employee4,employee4@homecompany.com,Recurring,2022,2022-employee4@homecompany.com
employee48,employee48@homecompany.com,Outbound,2022,2022-employee48@homecompany.com
employee49,employee49@homecompany.com,Outbound,2022,2022-employee49@homecompany.com
employee17,employee17@homecompany.com,Inbound - quotes,2022,2022-employee17@homecompany.com
employee1,employee1@homecompany.com,Recurring,2022,2022-employee1@homecompany.com
employee26,employee26@homecompany.com,Recurring,2022,2022-employee26@homecompany.com
employee46,employee46@homecompany.com,Recurring,2022,2022-employee46@homecompany.com
employee22,employee22@homecompany.com,Partner,2022,2022-employee22@homecompany.com
employee23,employee23@homecompany.com,Partner,2022,2022-employee23@homecompany.com
employee20,employee20@homecompany.com,Partner,2022,2022-employee20@homecompany.com
employee24,employee24@homecompany.com,Partner,2022,2022-employee24@homecompany.com
employee39,employee39@homecompany.com,Recurring,2022,2022-employee39@homecompany.com
employee50,employee50@homecompany.com,Recurring,2022,2022-employee50@homecompany.com
employee44,employee44@homecompany.com,Recurring,2022,2022-employee44@homecompany.com
employee31,employee31@homecompany.com,Recurring,2022,2022-employee31@homecompany.com
employee29,employee29@homecompany.com,Recurring,2022,2022-employee29@homecompany.com
employee34,employee34@homecompany.com,Recurring,2022,2022-employee34@homecompany.com
employee30,employee30@homecompany.com,Recurring,2022,2022-employee30@homecompany.com
employee43,employee43@homecompany.com,Recurring,2022,2022-employee43@homecompany.com
employee25,employee25@homecompany.com,Recurring,2022,2022-employee25@homecompany.com
employee41,employee41@homecompany.com,Recurring,2022,2022-employee41@homecompany.com
employee51,employee51@homecompany.com,Partner,2022,2022-employee51@homecompany.com
employee52,employee52@homecompany.com,Partner,2022,2022-employee52@homecompany.com
employee21,employee21@homecompany.com,Partner,2022,2022-employee21@homecompany.com
employee45,employee45@homecompany.com,Inbound - zero touch,2022,2022-employee45@homecompany.com
employee13,employee13@homecompany.com,Inbound - quotes,2022,2022-employee13@homecompany.com
employee37,employee37@homecompany.com,Inbound - quotes,2022,2022-employee37@homecompany.com
employee11,employee11@homecompany.com,Partner,2022,2022-employee11@homecompany.com
employee35,employee35@homecompany.com,Partner,2022,2022-employee35@homecompany.com
employee3,employee3@homecompany.com,Inbound - quotes,2022,2022-employee3@homecompany.com
employee47,employee47@homecompany.com,Recurring,2022,2022-employee47@homecompany.com
employee28,employee28@homecompany.com,Inbound - quotes,2022,2022-employee28@homecompany.com
employee42,employee42@homecompany.com,Inbound - quotes,2022,2022-employee42@homecompany.com
employee53,employee53@homecompany.com,Recurring,2022,2022-employee53@homecompany.com
employee54,employee54@homecompany.com,Inbound - quotes,2022,2022-employee54@homecompany.com
employee27,employee27@homecompany.com,Recurring,2022,2022-employee27@homecompany.com
employee36,employee36@homecompany.com,Inbound - quotes,2022,2022-employee36@homecompany.com
employee14,employee14@homecompany.com,Recurring,2022,2022-employee14@homecompany.com
employee55,employee55@homecompany.com,Recurring,2022,2022-employee55@homecompany.com
employee18,employee18@homecompany.com,Inbound - quotes,2022,2022-employee18@homecompany.com
employee38,employee38@homecompany.com,Inbound - quotes,2022,2022-employee38@homecompany.com
employee10,employee10@homecompany.com,Recurring,2022,2022-employee10@homecompany.com
employee56,employee56@homecompany.com,Recurring,2022,2022-employee56@homecompany.com
employee57,employee57@homecompany.com,Recurring,2022,2022-employee57@homecompany.com
employee58,employee58@homecompany.com,Recurring,2022,2022-employee58@homecompany.com
employee15,employee15@homecompany.com,Recurring,2022,2022-employee15@homecompany.com
employee59,employee59@homecompany.com,Recurring,2022,2022-employee59@homecompany.com
employee33,employee33@homecompany.com,Inbound - quotes,2022,2022-employee33@homecompany.com
